진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,서대문구,여,40~49세,10,58,10957610
2023,서울,서대문구,여,50~59세,58,190,25655390
2023,서울,서대문구,여,60~69세,297,1306,183301910
2023,서울,서대문구,여,70~79세,839,4971,504638560
2023,서울,서대문구,여,80~89세,1452,21645,1858189540
2023,서울,서대문구,여,90~99세,373,10091,839213330
2023,서울,서대문구,여,100세 이상,15,926,74588620
2023,서울,성동구,남,0~9세,0,0,0
2023,서울,성동구,남,10~19세,0,0,0
2023,서울,성동구,남,20~29세,0,0,0
2023,서울,성동구,남,30~39세,0,0,0
2023,서울,성동구,남,40~49세,0,0,0
2023,서울,성동구,남,50~59세,10,92,6914550
2023,서울,성동구,남,60~69세,57,567,46247730
2023,서울,성동구,남,70~79세,197,1648,178992380
2023,서울,성동구,남,80~89세,357,3748,354563650
2023,서울,성동구,남,90~99세,55,496,48728820
2023,서울,성동구,남,100세 이상,0,0,0
2023,서울,성동구,여,0~9세,0,0,0
2023,서울,성동구,여,10~19세,0,0,0
2023,서울,성동구,여,20~29세,0,0,0
2023,서울,성동구,여,30~39세,0,0,0
2023,서울,성동구,여,40~49세,0,0,0
2023,서울,성동구,여,50~59세,15,57,8106050
2023,서울,성동구,여,60~69세,87,576,53323440
2023,서울,성동구,여,70~79세,389,3309,317585870
2023,서울,성동구,여,80~89세,864,9828,815646120
2023,서울,성동구,여,90~99세,230,5510,451837310
2023,서울,성동구,여,100세 이상,0,0,0
2023,서울,성북구,남,0~9세,0,0,0
2023,서울,성북구,남,10~19세,0,0,0
2023,서울,성북구,남,20~29세,0,0,0
2023,서울,성북구,남,30~39세,0,0,0
2023,서울,성북구,남,40~49세,0,0,0
2023,서울,성북구,남,50~59세,16,559,66027560
2023,서울,성북구,남,60~69세,131,1307,151137100
2023,서울,성북구,남,70~79세,366,4359,455481960
2023,서울,성북구,남,80~89세,694,8961,862312440
2023,서울,성북구,남,90~99세,130,2416,227595940
2023,서울,성북구,남,100세 이상,0,0,0
2023,서울,성북구,여,0~9세,0,0,0
2023,서울,성북구,여,10~19세,0,0,0
2023,서울,성북구,여,20~29세,0,0,0
2023,서울,성북구,여,30~39세,0,0,0
2023,서울,성북구,여,40~49세,0,0,0
2023,서울,성북구,여,50~59세,19,53,9890470
2023,서울,성북구,여,60~69세,151,1876,295662590
2023,서울,성북구,여,70~79세,743,6666,707241960
2023,서울,성북구,여,80~89세,1496,24474,2231429880
2023,서울,성북구,여,90~99세,380,8974,734241190
2023,서울,성북구,여,100세 이상,0,0,0
2023,서울,영등포구,남,0~9세,0,0,0
2023,서울,영등포구,남,10~19세,0,0,0
2023,서울,영등포구,남,20~29세,0,0,0
